Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude
Boms,47.969713,9.508511,Shell,48.0066933,9.51388072
Boms,47.969713,9.508511,Aral,48.01914342,9.49702003
Boms,47.969713,9.508511,AUTOWELT,48.01030898710339,9.496515301656803
Boms,47.969713,9.508511,JET,48.019145284935924,9.492520505275184
Boms,47.969713,9.508511,Esso,47.927761,9.544645
Ebenweiler,47.900658,9.513264,Esso,47.927761,9.544645
Eichstegen,47.938739,9.498845,Esso,47.927761,9.544645
Fleischwangen,47.879063,9.477566,Tankstelle,47.863135,9.423995
Guggenhausen,47.893685,9.455438,Tankstelle,47.863135,9.423995
Riedhausen,47.908922,9.431359,Tankstelle,47.863135,9.423995
Unterwaldhausen,47.902083,9.469885,Tankstelle,47.863135,9.423995
Ebersbach-Musbach,47.956209,9.580336,Jet Tankstelle,47.94432132801849,9.636790534580129
Ebersbach-Musbach,47.956209,9.580336,Esso,47.927761,9.544645
Bad Waldsee,47.92251,9.751276,AVIA,47.92544769540886,9.755750556071938
Bad Waldsee,47.92251,9.751276,Shell,47.87755019,9.70462081
Bad Waldsee,47.92251,9.751276,Schindele Fahren & Sparen,47.927005767822266,9.757771492004395
Bad Waldsee,47.92251,9.751276,Esso Tankstelle,47.9161,9.7488
Ravensburg,47.78366,9.615089,Tankstelle Roth,47.776347,9.618581
Ravensburg,47.78366,9.615089,Shell,47.77973756,9.58624516
Ravensburg,47.78366,9.615089,Aral,47.775655940709264,9.604378046572632
Ravensburg,47.78366,9.615089,Aral,47.772072,9.67064
Ravensburg,47.78366,9.615089,Aral,47.81205991,9.64072513
Ravensburg,47.78366,9.615089,Aral,47.73856288,9.59847558
Ravensburg,47.78366,9.615089,RAN,47.81039566210624,9.627820356635715
Ravensburg,47.78366,9.615089,Esso Tiger Wäsche,47.769568421059155,9.620649241986769
Ravensburg,47.78366,9.615089,Esso Tankstelle,47.811687144952025,9.637253000398665
Ravensburg,47.78366,9.615089,schindele - waschpark,47.78996890811547,9.607973120231952
Ravensburg,47.78366,9.615089,Jet Ravensburg,47.79183067884173,9.62278425693512
Ravensburg,47.78366,9.615089,Boss Tankstelle,47.82900689688629,9.651685031726565
Ravensburg,47.78366,9.615089,Aral,47.817805514048246,9.64223180394846
Ravensburg,47.78366,9.615089,Bosch Service,47.821468891849264,9.636641767263628
Weingarten,47.807399,9.640669,Aral,47.81205991,9.64072513
Weingarten,47.807399,9.640669,Shell,47.77973756,9.58624516
Weingarten,47.807399,9.640669,Aral,47.772072,9.67064
Weingarten,47.807399,9.640669,Aral,47.775655940709264,9.604378046572632
Weingarten,47.807399,9.640669,RAN,47.81039566210624,9.627820356635715
Weingarten,47.807399,9.640669,Tankstelle Roth,47.776347,9.618581
Weingarten,47.807399,9.640669,Esso Tiger Wäsche,47.769568421059155,9.620649241986769
Weingarten,47.807399,9.640669,Esso Tankstelle,47.811687144952025,9.637253000398665
Weingarten,47.807399,9.640669,Boss Tankstelle,47.82900689688629,9.651685031726565
